source_path	decoded_path	bytes	sha256	file_type	nested_listing
add_identity_auth_rate_limiting.tar.gz.b64	add_identity_auth_rate_limiting.tar.gz	943	ef19ab124dc824f87559f61857a4a38ba37ddf0e0489d104bb56a918e6b04782	gzip compressed data, from Unix, original size modulo 2^32 10240	/home/ubuntu/genesis_archive_review_20260817/decoded_all/add_identity_auth_rate_limiting.tar.gz.listing
guard_swagger_development_only.tar.gz.b64	guard_swagger_development_only.tar.gz	531	5e2ab64dac05dba56ced5f5f122f65bc3f7540b02438ee4e2964d3bf9b3204cb	gzip compressed data, from Unix, original size modulo 2^32 10240	/home/ubuntu/genesis_archive_review_20260817/decoded_all/guard_swagger_development_only.tar.gz.listing
guard_swagger_exact.tar.gz.b64	guard_swagger_exact.tar.gz	677	5f06793c78c34dccb759b28a7275ac05eb33c21fbe01176ca6daff6877c26041	gzip compressed data, from Unix, original size modulo 2^32 10240	/home/ubuntu/genesis_archive_review_20260817/decoded_all/guard_swagger_exact.tar.gz.listing
guard_swagger_regex.tar.gz.b64	guard_swagger_regex.tar.gz	544	41a6e6e049443e9b455764290c28cef9d336677b5d37872f2602ad4b2bd8cd91	gzip compressed data, from Unix, original size modulo 2^32 10240	/home/ubuntu/genesis_archive_review_20260817/decoded_all/guard_swagger_regex.tar.gz.listing
phase5_encrypted_backup_restore.ps1.b64	phase5_encrypted_backup_restore.ps1	3239	b2bc7cf736594470513b78926753a6b839ff609de565acc1b44612740cfa4cd9	ASCII text	not-an-archive
phase5_encrypted_backup_restore.tar.gz.b64	phase5_encrypted_backup_restore.tar.gz	1301	45f20aed87983aab72dafaf0986b2e3df7d40e27a2b30817406e9e1d8e969558	gzip compressed data, from Unix, original size modulo 2^32 10240	/home/ubuntu/genesis_archive_review_20260817/decoded_all/phase5_encrypted_backup_restore.tar.gz.listing
phase6_rate_limit_probe.tar.gz.b64	phase6_rate_limit_probe.tar.gz	303	75f2a9ae0b021f6c37ea09e4be9a74aa49b7849fee9ff53b867ca70db7f17abf	gzip compressed data, from Unix, original size modulo 2^32 10240	/home/ubuntu/genesis_archive_review_20260817/decoded_all/phase6_rate_limit_probe.tar.gz.listing
